ANO DE REFERENCIA;NÃO  PROCESSADOS;PESSOAL E ENCARGOS SOCIAIS;JUROS E ENCARGOS DA DIVIDA ;OUTRAS DESPESAS CORRENTES ;INVESTIMENTOS;INVERSOES FINANCEIRAS;AMORTIZACAO / REFINANCIAMENTO DA DIVIDA;PROCESSADOS;PESSOAL E ENCARGOS SOCIAIS ;JUROS E ENCARGOS DA DIVIDA ;OUTRAS DESPESAS CORRENTES ;INVESTIMENTOS;INVERSOES FINANCEIRAS;AMORTIZACAO / REFINANCIAMENTO DA DIVIDA
2003;14.501;592;528;6.336;4.256;2.047;742;3.589;63;27;1.382;1.932;163;22
2004;23.755;475;2.213;7.052;1.767;7.859;4.389;7.926;29;23;4.051;3.485;319;18
2005;17.305;602;177;7.299;5.513;2.643;1.070;4.338;448;23;2.198;1.288;361;20
2006;34.134;687;986;15.865;11.275;4.143;1.178;4.847;345;7;2.124;2.000;291;79
2007;38.694;929;83;16.268;14.081;6.975;357;5.236;100;37;2.394;2.596;71;37
2008;55.430;1.427;233;21.992;27.352;4.190;236;7.030;523;26;2.448;3.671;328;34
2009;67.651;1.460;25;25.948;35.398;4.593;227;26.925;2.695;26;19.116;4.451;592;45
2010;92.089;1.850;429;35.410;45.626;8.591;182;22.907;645;217;15.977;5.190;827;51
2011;103.443;1.346;404;42.335;48.463;10.191;704;25.451;537;27;15.694;8.698;440;54
2012;117.103;1.374;92;51.771;51.517;12.006;343;24.098;775; - ;16.354;5.869;1.031;68
2013;150.729;1.487;978;58.343;67.411;20.930;1.581;26.273;513;26;18.659;4.688;2.333;53
2014;185.513;1.502;24;82.823;79.583;21.578;0;33.623;1.429;4;20.581;7.691;3.870;48
2015;189.521;1.819;204;92.576;72.649;21.305;969;38.466;1.020;2;27.135;8.404;1.884;21
2016;140.539;1.633;0;53.255;65.826;19.825;0;45.172;487;2;33.732;10.008;924;19
2017;125.330;1.278;117;52.436;56.311;15.124;64;22.878;479;2;17.382;4.383;623;9
