Ano,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10A,Q10B,IAL,IALsub1,IALsub2,IALsub3
1965,5,0,6.66,5,2.5,6,7.5,6.66,0,5,5,44.32,25.82,13.5,5
1966,5,0,6.66,5,2.5,6,7.5,6.66,0,5,5,44.32,25.82,13.5,5
1967,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1968,10,5,6.66,5,10,10,7.5,6.66,0,5,5,65.82,35.82,25,5
1969,10,5,6.66,5,10,10,7.5,6.66,0,5,5,65.82,35.82,25,5
1970,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1971,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1972,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1973,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1974,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1975,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1976,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1977,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1978,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1979,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1980,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1981,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1982,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1983,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1984,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1985,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1986,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1987,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1988,5,5,6.66,5,10,10,7.5,6.66,0,5,5,60.82,30.82,25,5
1989,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1990,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1991,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1992,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1993,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1994,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1995,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1996,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1997,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
1998,7.5,7.5,6.66,5,5,2,7.5,6.66,5,5,52.82,35.82,12,5,
1999,7.5,7.5,6.66,5,5,2,7.5,6.66,0,5,5,52.82,35.82,12,5
2000,7.5,7.5,6.66,5,5,2,7.5,10,7.5,5,5,63.66,39.16,12,12.5
2001,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2002,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2003,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2004,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2005,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2006,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2007,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2008,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2009,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
2010,7.5,10,6.66,5,5,2,7.5,10,7.5,5,5,66.16,41.66,12,12.5
